Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US22140,22140,"United States - In metropolitan statistical area - Farmington, NM MSA","Farmington, NM MSA",130044,49341,5538.42,25.36,5513.07,23.6,8.9
310M100US22180,22180,"United States - In metropolitan statistical area - Fayetteville, NC MSA","Fayetteville, NC MSA",366383,153735,1050.66,7.6,1043.06,351.3,147.4
310M100US22220,22220,"United States - In metropolitan statistical area - Fayetteville-Springdale-Rogers, AR-MO MSA","Fayetteville-Springdale-Rogers, AR-MO MSA",463204,198298,3213.08,50.02,3163.06,146.4,62.7
310M100US22380,22380,"United States - In metropolitan statistical area - Flagstaff, AZ MSA","Flagstaff, AZ MSA",134421,63321,18661.34,42.46,18618.89,7.2,3.4
310M100US22420,22420,"United States - In metropolitan statistical area - Flint, MI MSA","Flint, MI MSA",425790,192180,649.59,12.61,636.98,668.5,301.7
310M100US22500,22500,"United States - In metropolitan statistical area - Florence, SC MSA","Florence, SC MSA",205566,88963,1370.53,9.41,1361.12,151,65.4
310M100US22520,22520,"United States - In metropolitan statistical area - Florence-Muscle Shoals, AL MSA","Florence-Muscle Shoals, AL MSA",147137,69549,1343.12,82.8,1260.32,116.7,55.2
310M100US22540,22540,"United States - In metropolitan statistical area - Fond du Lac, WI MSA","Fond du Lac, WI MSA",101633,43910,765.84,46.29,719.55,141.2,61
310M100US22660,22660,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA","Fort Collins-Loveland, CO MSA",299630,132722,2633.95,37.95,2596,115.4,51.1
310M100US22900,22900,"United States - In metropolitan statistical area - Fort Smith, AR-OK MSA","Fort Smith, AR-OK MSA",298592,128891,4092.72,96.38,3996.35,74.7,32.3
310M100US23060,23060,"United States - In metropolitan statistical area - Fort Wayne, IN MSA","Fort Wayne, IN MSA",416257,178124,1368.18,7.22,1360.96,305.9,130.9
310M100US23420,23420,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",930450,315531,6011.2,53.21,5957.99,156.2,53
310M100US23460,23460,"United States - In metropolitan statistical area - Gadsden, AL MSA","Gadsden, AL MSA",104430,47454,548.63,13.64,534.99,195.2,88.7
310M100US23540,23540,"United States - In metropolitan statistical area - Gainesville, FL MSA","Gainesville, FL MSA",264275,120073,1324.05,99.35,1224.7,215.8,98
310M100US23580,23580,"United States - In metropolitan statistical area - Gainesville, GA MSA","Gainesville, GA MSA",179684,68825,429.29,36.51,392.78,457.5,175.2
310M100US24020,24020,"United States - In metropolitan statistical area - Glens Falls, NY MSA","Glens Falls, NY MSA",128923,67570,1777.49,79.36,1698.14,75.9,39.8
310M100US24140,24140,"United States - In metropolitan statistical area - Goldsboro, NC MSA","Goldsboro, NC MSA",122623,52949,556.85,3.77,553.09,221.7,95.7
310M100US24220,24220,"United States - In metropolitan statistical area - Grand Forks, ND-MN MSA","Grand Forks, ND-MN MSA",98461,43954,3437.29,29.78,3407.5,28.9,12.9
310M100US24300,24300,"United States - In metropolitan statistical area - Grand Junction, CO MSA","Grand Junction, CO MSA",146723,62644,3341.12,12.15,3328.97,44.1,18.8
